Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Nature;6278;1047743;0.019569825436408977;0.13432602564102564;0
Nautic sport;94315;1999339;0.2939993765586035;0.2563255128205128;77
Netflix;13021;321064;0.040589152119700746;0.04116205128205128;24
New active business;33772;858178;0.10527431421446384;0.11002282051282052;26
News/Online News;195118;4381765;0.6082231920199501;0.5617647435897436;85
Nightlife;161611;4312405;0.5037749376558603;0.5528724358974358;51
Nintendo;60900;1502930;0.18983790523690772;0.19268333333333335;39
Non-profit organization;112230;3010739;0.3498441396508728;0.3859921794871795;37
Novels;31993;893960;0.0997288029925187;0.1146102564102564;10
Occult Sciences;34842;992632;0.10860972568578553;0.12726051282051282;9
Older age;55709;1186910;0.1736564837905237;0.15216794871794873;67
Olympic games;27675;790147;0.08626870324189526;0.10130089743589743;8
Online;233238;7058690;0.7270511221945137;0.9049602564102565;29
Online gaming;221973;5682645;0.6919357855361596;0.7285442307692308;73
Online media;233420;6953906;0.7276184538653366;0.8915264102564102;34
Online security;6655;144369;0.02074501246882793;0.018508846153846154;41
Organic;140635;3647090;0.43838840399002493;0.46757564102564103;53
Page admins;146418;4585673;0.4564152119700748;0.5879067948717949;8
Painting;120389;3318151;0.3752774314214464;0.42540397435897437;34
Parade;667;23833;0.0020791770573566084;0.0030555128205128207;0
Parenting;197689;4936381;0.6162375311720698;0.6328693589743589;74
Performing Art;12957;276633;0.040389650872817956;0.03546576923076923;47
Personal development;224981;5709194;0.7013123441396508;0.7319479487179488;75
Personality traits;226472;5509582;0.7059600997506235;0.7063566666666666;81
Pharmaceutical companies;1530;57278;0.00476932668329177;0.007343333333333334;0
Photography;221523;5997826;0.6905330423940149;0.7689520512820512;61
Pick-ups;81685;1331937;0.2546290523690773;0.17076115384615384;93
Plastic;1944;53721;0.006059850374064838;0.006887307692307693;7
Platform Games;19744;475787;0.06154613466334165;0.060998333333333335;30
PlayStation;62244;1450603;0.19402743142144638;0.18597474358974359;52
Police story;20463;489605;0.06378740648379053;0.0627698717948718;32
Political awareness;26151;592588;0.08151807980049876;0.07597282051282052;43
Pop rock;50879;1402323;0.1586003740648379;0.179785;17
Popular music;114878;3367905;0.3580985037406484;0.4317826923076923;18
Pregnancy;10606;296967;0.03306109725685785;0.03807269230769231;7
Premium;242795;5121725;0.7568422693266833;0.6566314102564103;93
Prepared meals;6268;162470;0.01953865336658354;0.02082948717948718;15
Prevention;42950;818975;0.13388403990024939;0.10499679487179488;77
Professional cars;73903;1195153;0.2303709476309227;0.15322474358974358;92
Programming;124683;2707770;0.3886627182044888;0.34715;79
Public Administration stakeholders;1157;32513;0.0036066084788029923;0.004168333333333333;6
Public Policy;211017;4734861;0.6577836658354115;0.6070334615384615;88
